ああ,嗚呼,Ah!;Oh!;Alas!
あつかう,扱う,to handle;to deal with;to treat
あつかましい,厚かましい,impudent;shameless;brazen
あつまり,集まり,gathering;meeting;assembly;collection
あつまる,集まる,to gather;to collect;to assemble
あつめる,集める,to collect;to assemble
あつらえる,誂える,to give an order;to place an order
あつりょく,圧力,stress;pressure
あて,当て,object;aim;end;hopes;expectations
あて,宛,addressed to
あてじ,当て字,phonetic-equivalent character;substitute character
あてな,宛名,address;direction
あてはまる,当てはまる,to apply (a rule)
あてはめる,当てはめる,to apply;to adapt
あてる,宛てる,to address
あてる,当てる,to hit;to apply a patch
あと,後,after;behind;later;rear;remainder;successor
あと,跡,trace;tracks;mark;scar;sign;remains;ruins
あとつぎ,跡継ぎ,heir;successor
あとまわし,後回し,putting off;postponing
あな,穴,hole
あなた,貴女,you;lady
あに,兄,older brother
あね,姉,older sister
あの,彼の,that over there
あばれる,暴れる,to act violently;to rage;to struggle;to be riotous
あびる,浴びる,to bathe;to bask in the sun;to shower
あふれる,溢れる,to flood;to overflow;to brim over
あぶない,危ない,dangerous;critical;grave;uncertain;unreliable;limping;narrow;close;watch out!
あぶら,油,oil
あぶらえ,油絵,oil painting
あぶる,炙る,to scorch
あべこべ,,contrary;opposite;inverse
あまい,甘い,generous;indulgent;easy-going;sweet;fond of;soft on;overly optimistic;naive
あまえる,甘える,to behave like a spoiled child;to fawn on
あまくち,甘口,sweet flavour;mildness;flattery;stupidity
あまぐ,雨具,rain gear
あまつ,天,heavenly;imperial
あまど,雨戸,sliding storm door
あまやかす,甘やかす,to pamper;to spoil
あまり,余り,not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much
あまる,余る,to remain;to be left over;to be in excess;to be too many
あみ,網,net;network
あみもの,編物,knitting;web
あむ,編む,to knit
あめ,雨,rain
あめ,飴,(hard) candy
あめつち,天地,heaven and earth;the universe;nature;top and bottom;realm;sphere;world
あやうい,危うい,dangerous;critical;grave;uncertain;unreliable;limping;narrow;close;watch out!
あやしい,怪しい,suspicious;dubious;doubtful
あやつる,操る,to manipulate;to operate;to pull strings
あやふや,,uncertain;vague;ambiguous
あやぶむ,危ぶむ,to fear;to have misgivings;to be doubtful;to mistrust
あやまち,過ち,fault;error;indiscretion
あやまり,誤り,error
あやまる,誤る,to make a mistake
あやまる,謝る,to apologize
あゆみ,歩み,walking
あゆむ,歩む,to walk;to go on foot
あら,,oh;ah;saw-edged perch (Niphon spinosus)
あらい,荒い,rough;rude;wild
あらい,粗い,coarse;rough
あらう,洗う,to wash
あらかじめ,予め,beforehand;in advance;previously
あらし,嵐,storm;tempest
あらす,荒らす,to lay waste;to devastate;to damage;to invade;to break into
あらすじ,粗筋,outline;summary
あらそい,争い,dispute;strife;quarrel;dissension;conflict;rivalry;contest
あらそう,争う,to dispute;to argue;to be at variance;to compete
あらた,新た,new;fresh;novel
あらたまる,改まる,to be renewed
あらためて,改めて,another time;again;over again;anew;formally
あらためる,改める,to change;to alter;to reform;to revise
あらっぽい,荒っぽい,rough;rude
あらゆる,凡ゆる,all;every
あられ,,kind of cookie;cartoon character
あらわす,表す,to express;to show;to reveal
あらわす,現す,to show;to indicate;to display
あらわす,著す,to write;to publish
あらわれ,現われ,embodiment;materialization
あらわれる,現われる,to appear;to come in sight;to become visible;to come out;to embody;to materialize;to express oneself
ありがたい,有難い,grateful;thankful
ありがとう,有難う,Thank you
ありさま,有様,state;condition;circumstances;the way things are or should be;truth
ありのまま,有りのまま,the truth;fact;as it is;frankly
ある,或る,a certain...;some...
ある,有る,to be;to have
ある,在る,to live;to be
あるいは,或いは,or;possibly
あるく,歩く,to walk
あるじ,主,master;head (of a household);landlord;one's husband;employer;host
あるじ,主人,master;head (of a household);landlord;one's husband;employer;host
あれ,,1.  that;that thing; 2.  (X) (col) genitals; 3.  menses
あれこれ,彼此,one thing or another;this and that;this or that
あれる,荒れる,to be stormy;to be rough;to lose one's temper
あわ,泡,bubble;foam;froth;head on beer
あわす,合わす,to join together;to face;to unite;to be opposite;to combine;to connect;to add up;to mix;to match;to overlap;to compare;to check with
あわせ,合わせ,joint together;opposite;facing
あわせる,合わせる,to join together;to be opposite;to face;to unite;to combine;to connect;to add up;to mix;to match;to overlap;to compare;to check with
あわただしい,慌ただしい,busy;hurried;confused;flurried
あわてる,慌てる,to become confused (disconcerted  disorganized)
あわれ,哀れ,helpless;pathos;pity;sorrow;grief;misery;compassion
あん,案,plan;suffix meaning draft
あんい,安易,easy-going
あんがい,案外,unexpectedly
あんき,暗記,memorization;learning by heart
あんさつ,暗殺,assassination
あんざん,暗算,mental arithmetic
あんしん,安心,relief;peace of mind
あんじ,暗示,hint;suggestion
あんじる,案じる,to be anxious;to ponder
あんせい,安静,rest
あんぜん,安全,safety;security
あんてい,安定,stability;equilibrium
あんな,,such;so;that;sort of
あんない,案内,information;guidance;leading
あんのじょう,案の定,sure enough;as usual
あんまり,余り,not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much
い,依,depending on
い,胃,stomach
いい,良い,good
いい,伊井,that one;Italy
いいえ,否,no;nay;yes;well
いいかげん,いい加減,moderate;right;random;not thorough;vague;irresponsible;halfhearted
いいだす,言い出す,to start talking;to speak;to tell;to propose;to suggest;to break the ice
いいつける,言い付ける,to tell;to tell on (someone);to order;to charge;to direct
いいわけ,言い訳,excuse;explanation
いいん,医院,doctor's office (surgery);clinic;dispensary
いいん,委員,committee member
いう,言う,to say
いえ,家,house
いえで,家出,running away from home;leaving home
いえぬし,家主,landlord
いか,以下,less than;up to;below;under;and downward;not exceeding;the following;the rest
いかが,如何,how;in what way
いかす,生かす,to revive;to resuscitate;to make use of
いかずち,雷,thunder
いかに,如何に,how?;in what way?;how much?;however;whatever
いかにも,如何にも,indeed;really;phrase meaning agreement
いかり,怒り,anger;hatred
いかる,怒る,to get angry;to be angry
いがい,以外,with the exception of;excepting
いがい,意外,unexpected;surprising
いがく,医学,medical science;medicine
いがむ,歪む,to warp;to swerve;to deflect;to be crooked;to be distorted;to be bent;to incline;to slant;to be perverted;to be gross-grained;to get bent;to be strained
いき,粋,chic;style;purity;essence
いき,息,breath;tone
いき,行き,going
いきいき,生き生き,vividly;lively
いきおい,勢い,force;vigor;energy;spirit;life;authority;influence;power;might;impetus;course (of events);tendency;necessarily
いきがい,域外,outside the area
いきごむ,意気込む,to be enthusiastic about
いきさつ,経緯,1.  details;whole story;sequence of events;particulars;how it started;how things got this way; 2.  complications;position
いきちがい,行き違い,misunderstanding;estrangement;disagreement;crossing without meeting;going astray
いきなり,行き成り,suddenly
いきもの,生き物,living thing;animal
いきる,生きる,to live;to exist
いぎ,異議,objection;dissent;protest
いぎ,意義,meaning;significance
いく,,to come;to orgasm
いく,行く,to go
いくさ,軍,war;battle;campaign;fight
いくさ,戦,war;battle;campaign;fight
いくじ,育児,childcare;nursing;upbringing
いくせい,育成,rearing;training;nurture;cultivation;promotion
いくた,幾多,many;numerous
いくつ,幾つ,how many?;how old?
いくぶん,幾分,somewhat
いくら,幾ら,how much?;how many?
いけ,池,pond
いけない,,must not do;bad;wrong;not good
いけばな,生け花,1.  flower arrangement
いける,活ける,to arrange (flowers)
いけん,異見,different opinion;objection
いけん,意見,opinion;view
いこう,意向,intention;idea;inclination
いこう,移行,switching over to
いこう,以降,on and after;hereafter;thereafter
いご,以後,after this;from now on;hereafter;thereafter
いさましい,勇ましい,brave;valiant;gallant;courageous
いざ,,now;come (now);well;crucial moment
いし,石,stone
いし,医師,doctor;physician
いし,意思,intention;purpose
いし,意志,will;volition
いしき,意識,consciousness;senses
いしぶみ,碑,stone monument bearing an inscription
いしゃ,医者,doctor (medical)
いしょう,衣装,clothing;costume;outfit;garment;dress
いしょくじゅう,衣食住,necessities of life (food  clothing  etc.)
いじ,意地,disposition;spirit;willpower;obstinacy;backbone;appetite
いじ,維持,maintenance;preservation
いじめる,苛める,to tease;to torment;to persecute;to chastise
いじゅう,移住,migration;immigration
いじょう,以上,more than;exceeding;greater than;this is all;over;above;and up;beyond;the above-mentioned;since;as long as;the end
いじょう,異常,strangeness;abnormality;disorder
いじる,弄る,to touch;to tamper with
いじわる,意地悪,malicious;ill-tempered;unkind
いす,椅子,chair
いずみ,泉,spring;fountain
いずれ,何れ,where;which;who;anyway;anyhow;at any rate
いせい,異性,the opposite sex
いせき,遺跡,historic ruins (remains  relics)
いぜん,依然,still;as yet
いぜん,以前,ago;since;before;previous
いそがしい,忙しい,busy;irritated
いそぐ,急ぐ,to hurry;to rush
いそん,依存,dependence;dependent;reliance
いた,板,board;plank
いたい,痛い,painful
いたく,委託,consign (goods (for sale) to a firm);entrust (person with something);commit
いたす,致す,to do
いたずら,悪戯,tease;prank;trick;practical joke;mischief
いただき,頂,(top of) head;summit;spire
いただきます,戴きます,expression of gratitude before meals
いただく,頂く,to receive;to take food or drink (hum);to be crowned with;to wear;to live under (a ruler);to install (a president);to accept;to buy;to take
いたって,至って,very much;exceedingly;extremely
いたみ,痛み,pain;ache;sore;grief;distress
いたむ,痛む,to hurt;to feel a pain;to be injured
いためる,痛める,to hurt;to injure;to cause pain;to worry;to bother;to afflict;to be grieved over
いためる,炒める,to stir-fry
いたる,至る,to come;to arrive
いたわる,労る,to pity;to sympathize with;to console;to care for;to be kind to
いだい,偉大,greatness
いだく,抱く,to embrace;to hug;to harbour;to entertain;`to sleep with'
いち,市,market;fair
いち,一,(num) one
いち,位地,place;situation;position;location
いち,位置,place;situation;position;location
いちいち,一々,one by one;separately
いちおう,一応,once;tentatively;in outline;for the time being
いちがいに,一概に,unconditionally;as a rule
いちげん,一見,unfamiliar;never before met
いちげん,一言,single word
いちじ,一時,one hour;short time;once;a time;temporarily;at one time;twelfth part of a day
いちじつ,一日,1.  one day; 2.  first of month
いちじょう,一定,fixed;settled;definite;uniform;regularized;defined;standardized;certain;prescribed
いちじるしい,著しい,remarkable;considerable
いちだんと,一段と,greater;more;further;still more
いちど,一度,once;one time;on one occasion
いちどう,一同,all present;all concerned;all of us
いちどに,一度に,all at once
いちにん,一人,one person
いちば,市場,(town) market;marketplace;market
いちばん,一番,best;first;number one;a game;a round;a bout;a fall;an event (in a meet)
いちぶ,一部,1.  one copy  e.g. of a document; 2.  a part;partly;some
いちぶぶん,一部分,a part
いちべつ,一別,parting
いちめん,一面,one side;one phase;front page;the other hand;the whole surface
いちもく,一目,a glance;a look;a glimpse
いちよう,一様,uniformity;evenness;similarity;equality;impartiality
いちりつ,一律,evenness;uniformity;monotony;equality
いちりゅう,一流,first class;top grade;school (of art);foremost;top-notch;unique
いちれん,一連,a series;a chain;a ream (of paper)
いっか,一家,a house;a home;a family;a household;one's family;one's folks;a style
いっかつ,一括,all together;batch;one lump;one bundle;summing up
いっき,一気,drink!(said repeatedly as a party cheer)
いっきょに,一挙に,at a stroke;with a single swoop
いっさい,一切,all;everything;without exception;the whole;entirely;absolutely
いっさくじつ,一昨日,day before yesterday
いっさくねん,一昨年,year before last
いっしゅ,一種,a species;a kind;a variety
いっしゅん,一瞬,a moment;an instant
いっしょ,一緒,together;meeting;company
いっしょう,一生,whole life;a lifetime;all through life;one existence;a generation;an age;the whole world;the era
いっしょうけんめい,一生懸命,very hard;with utmost effort;with all one's might
いっしん,一心,one mind;wholeheartedness;the whole heart
いっせい,一斉,simultaneous;all at once
いっそ,,rather;sooner;might as well
いっそう,一層,much more;still more;all the more
いったい,一帯,a region;a zone;the whole place
いったい,一体,one object;one body;what on earth?;really?;generally
いったん,一旦,once;for a moment;one morning;temporarily
いっち,一致,coincidence;agreement;union;match;conformity;consistency;co-operation
いっぱい,一敗,one defeat
いっぱん,一般,general;liberal;universal;ordinary;average
いっぺん,一変,complete change;about-face
いっぽう,一方,on the other hand;one side;one way;a quarter;one direction;one party;the other party;meanwhile;only;simple;in turn
いつ,何時,when;how soon
いつか,五日,five days;the fifth day (of the month)
いつか,何時か,sometime;someday;one day;some time or other;the other day;in due course;in time
いつつ,五つ,five
いつでも,何時でも,(at) any time;always;at all times;never (neg);whenever
いつのまにか,何時の間にか,before one knows;unnoticed;unawares
いつまでも,何時までも,forever;for good;eternally;as long as one likes;indefinitely
いつも,何時も,always;usually;every time;never (with neg. verb)
いてん,移転,moving;transfer;demise
いと,意図,intention;aim;design
いと,糸,thread;yarn;string
いとこ,従兄弟,cousin
いとこ,従姉妹,cousin (female)
いとなむ,営む,to carry on (e.g. in ceremony);to run a business
いとま,暇,free time;leisure;leave;spare time;farewell
いど,井戸,water well
いど,緯度,latitude (nav.)
いどう,異動,a change
いどう,移動,removal;migration;movement
いどむ,挑む,to challenge;to contend for;to make love to
いない,以内,within;inside of;less than
いなか,田舎,rural;not particularly urban;countryside;suburb
いなびかり,稲光,(flash of) lightning
いにしえ,古,antiquity;ancient times
いぬ,犬,dog
いね,稲,rice-plant
いねむり,居眠り,dozing;nodding off
いのち,命,(mortal) life
いのり,祈り,prayer;supplication
いのる,祈る,to pray;to wish
いはん,違反,violation (of law);transgression;infringement;breach
いばる,威張る,to be proud;to swagger
いびき,鼾,snoring
いふく,衣服,clothes
いま,今,now;the present time;just now;soon;immediately;(one) more
いま,居間,living room (western style)
いまさら,今更,now;at this late hour
いまだ,未だ,as yet;hitherto;not yet (neg)
いまに,今に,before long;even now
いまにも,今にも,at any time;soon
いみ,意味,meaning;significance
いみん,移民,emigration;immigration;emigrant;immigrant
いもうと,妹,younger sister
いや,嫌,disagreeable;detestable;unpleasant;reluctant
いやいや,厭々,unwillingly;grudgingly;shaking head in refusal (to children)
いやがる,嫌がる,to hate;to dislike
いやしい,卑しい,greedy;vulgar;shabby;humble;base;mean;vile
いやに,,awfully;terribly
いやらしい,厭やらしい,detestable;disagreeable
いよいよ,愈々,more and more;all the more;increasingly;at last;beyond doubt
いよく,意欲,will;desire;ambition
いらい,以来,since;henceforth
いらい,依頼,request;commission;dispatch;dependence;trust
いらいら,苛々,getting nervous;irritation
いらっしゃる,,to be;to come;to go
いりくち,入口,entrance;gate;approach;mouth
いりょう,衣料,clothing
いりょう,医療,medical care;medical treatment
いりょく,威力,power;might;authority;influence
いる,居る,to be (animate);to exist
いる,要る,to need
いる,入る,to get in;to go in;to come in;to flow into;to set;to set in
いる,煎る,to parch;to fry;to fire;to broil;to roast;to boil down (in oil)
いるい,衣類,clothes;clothing;garments
いれもの,入れ物,container;case;receptacle
いれる,入れる,to put in;to take in;to bring in;to let in;to admit;to introduce;to commit (to prison);to usher in;to insert;to set (jewels);to employ;to listen to;to tolerate;to comprehend;to include;to pay (interest);to cast (votes)
いろ,色,colour
いろいろ,色々,various
いろん,異論,different opinion;objection
いわ,岩,rock;crag
いわい,祝い,celebration;festival
いわう,祝う,to congratulate;to celebrate
いわば,言わば,so to speak
いわゆる,所謂,the so-called;so to speak
いん,印,seal;stamp;mark;print
いん,員,member
いんかん,印鑑,stamp;seal
いんき,陰気,gloom;melancholy
いんきょ,隠居,retirement;retired person
いんさつ,印刷,printing
いんしょう,印象,impression
いんたい,引退,retire
いんよう,引用,quotation;citation
いんりょく,引力,gravity
うえ,上,above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father)
うえき,植木,garden shrubs;trees;potted plant
うえした,上下,high and low;up and down;unloading and loading;praising and blaming
うえる,植える,to plant;to grow
うえる,飢える,to starve
うお,魚,fish
うかがう,伺う,to visit;to ask;to inquire;to hear;to be told;to implore (a god for an oracle)
うかぶ,浮かぶ,to float;to rise to surface;to come to mind
うかべる,浮かべる,to float;to express;to look (sad  glad)
うかる,受かる,to pass (examination)
うがい,含嗽,gargle;rinse mouth
うく,浮く,to float;to become merry;to become loose
うけいれ,受け入れ,receiving;acceptance
うけいれる,受け入れる,to accept;to receive
うけたまわる,承る,to hear;to be told;to know
うけつぐ,受け継ぐ,to inherit;to succeed;to take over
うけつけ,受付,receipt;acceptance;reception (desk);information desk
うけつける,受け付ける,to be accepted;to receive (an application)
うけとめる,受け止める,to catch;to stop the blow;to react to;to take
うけとり,受け取り,receipt
うけとる,受け取る,to receive;to get;to accept;to take;to interpret;to understand
うけみ,受身,passive;passive voice
うけもち,受け持ち,charge (of something);matter in one's charge
うけもつ,受け持つ,to take (be in) charge of
うける,受ける,to undertake;to accept;to take (lesson  test  damage);to undergo;to experience;to catch (e.g. a ball);to become popular
うごかす,動かす,to move;to shift;to set in motion;to operate;to inspire;to rouse;to influence;to mobilize;to deny;to change
うごき,動き,movement;activity;trend;development;change
うごく,動く,to move;to stir;to shift;to shake;to swing;to operate;to run;to go;to work;to be touched;to be influenced;to waver;to fluctuate;to vary;to change;to be transferred
うさぎ,兎,rabbit;hare;cony
うし,牛,cattle;cow
うしお,潮,tide
うしなう,失う,to lose;to part with
うじ,氏,family name
うすい,薄い,thin;weak;watery;diluted
うすぐらい,薄暗い,dim;gloomy
うすめる,薄める,to dilute;to water down
うず,渦,swirl
うずまる,埋まる,to be buried;to be surrounded;to overflow;to be filled
うずめる,埋める,to bury (e.g. one's face in hands)
うそ,嘘,lie;falsehood;incorrect fact;inappropriate
うそつき,嘘つき,liar (sometimes said with not much seriousness);fibber
うた,歌,song;poetry
うたう,歌う,to sing
うたがう,疑う,to doubt;to distrust;to be suspicious of;to suspect
うたたね,転寝,dozing;napping on the floor (in one's clothes)
うち,家,house (one's own)
うち,内,inside
うちあける,打ち明ける,to be frank;to speak one's mind;to open one's heart
うちあわせ,打ち合わせ,business meeting;previous arrangement;appointment
うちあわせる,打ち合わせる,to knock together;to arrange
うちきる,打ち切る,to stop;to abort;to discontinue;to close
うちけし,打ち消し,negation;denial;negative
うちけす,打ち消す,to deny;to negate;to contradict
うちこむ,打ち込む,to drive in (e.g. nail  stake);to devote oneself to;to shoot into;to smash;to throw into;to cast into
うちゅう,宇宙,universe;cosmos;space
うちわ,団扇,fan
うちわけ,内訳,the items;breakdown;classification
うっかり,,carelessly;thoughtlessly;inadvertently
うったえ,訴え,lawsuit;complaint
うったえる,訴える,to sue (a person);to resort to;to appeal to
うっとうしい,鬱陶しい,gloomy;depressing
うつ,打つ,to hit;to strike
うつ,討つ,to attack;to avenge
うつ,撃つ,to attack;to defeat;to destroy
うつくしい,美しい,beautiful;lovely
うつし,写し,copy;duplicate;facsimile;transcript
うつす,移す,to remove;to transfer;to infect
うつす,写す,to film;to transcribe;to duplicate;to reproduce;to trace;to describe;to picture;to photograph;to imitate
うつす,映す,to project;to reflect;to cast (shadow)
うつむく,俯く,to hang one's head for shame
うつる,移る,to move (house);to be infected;to be contagious;to transfer (department)
うつる,写る,to be photographed;to be projected
うつる,映る,to be reflected;to harmonize with;to come out (photo)
うつろ,空ろ,blank;cavity;hollow;empty (space)
うつわ,器,bowl;vessel;container
うてん,雨天,rainy weather
うで,腕,arm
うでまえ,腕前,ability;skill;facility
うどん,饂飩,noodles (Japanese)
うながす,促す,to urge;to press;to suggest;to demand;to stimulate;to quicken;to incite;to invite (attention to)
うなずく,頷く,to nod;to bow one's head in assent
うなる,唸る,to groan;to moan;to roar;to howl;to growl;to hum;to buzz;to sough
うぬぼれ,自惚れ,pretension;conceit;hubris
うばう,奪う,to snatch away
うま,馬,1.  horse; 2.  promoted bishop (shogi)
うまい,甘い,delicious
うまれ,生まれ,birth;birth-place
うまれつき,生まれつき,by nature;by birth;native
うまれる,生まれる,to be born
うみ,海,sea;beach
うみじ,海路,sea route
うむ,産む,to give birth;to deliver;to produce
うむ,有無,yes or no;existence;flag indicator (comp);presence or absence marker
うめ,梅,plum;plum-tree;lowest (of a three-tier ranking system)
うめこむ,埋め込む,to bury
うめぼし,梅干,dried plum
うやまう,敬う,to show respect;to honour
うら,末,top end;tip
うら,裏,reverse side;wrong side;back;undersurface;inside;palm;sole;opposite;rear;lining;last half (of an inning)
うらがえし,裏返し,inside out;upside down
うらがえす,裏返す,to turn inside out;to turn the other way;to turn (something) over
うらぎる,裏切る,to betray;to turn traitor to;to double-cross
うらぐち,裏口,backdoor;rear entrance
うらなう,占う,to forecast;to predict
うらみ,恨み,resentment
うらむ,恨む,to curse;to feel bitter
うらやましい,羨ましい,envious;enviable
うらやむ,羨む,to envy
うりあげ,売上,amount sold;proceeds
うりきれ,売り切れ,sold-out
うりきれる,売り切れる,to be sold out
うりだし,売り出し,(bargain) sale
うりだす,売り出す,to put on sale;to market;to become popular
うりば,売り場,place where things are sold;salesfloor;counter (in shop)
うる,売る,to sell
うる,得る,to obtain;to acquire
うるおう,潤う,to be moist;to be damp;to get wet;to profit by;to be watered;to receive benefits;to favor;to charm;to steepen
うるさい,五月蝿い,noisy;loud;fussy
うれしい,嬉しい,happy;glad;pleasant
うれゆき,売れ行き,sales
うれる,売れる,to be sold
うろうろ,,loiteringly;aimless wandering
うわき,浮気,flighty;fickle;wanton;unfaithful
うわぎ,上着,coat;tunic;jacket;outer garment
うわさ,噂,rumour;report;gossip;common talk
うわて,上手,1.  upper part;upper stream;left side (of a stage); 2.  skillful (only in comparisons);dexterity (only in comparisons)
うわまわる,上回る,to exceed
うわる,植わる,to be planted
うん,,yeah;uh huh
うん,運,fortune;luck
うんえい,運営,management;administration;operation
うんが,運河,canal;waterway
うんざり,,tedious;boring;being fed up with
うんそう,運送,shipping;marine transportation
うんちん,運賃,freight rates;shipping expenses;fare
うんてん,運転,operation;motion;driving
うんどう,運動,motion;exercise
うんぬん,云々,and so on;and so forth;comment
うんぱん,運搬,transport;carriage
うんめい,運命,fate
うんゆ,運輸,transportation
うんよう,運用,making use of;application;investment;practical use
え,柄,handle;grip
え,絵,picture;drawing;painting;sketch
え,会,understanding
え,重,-fold;-ply
えい,,ray (fish)
えいえん,永遠,eternity;perpetuity;immortality;permanence
えいが,映画,movie;film
えいきゅう,永久,eternity;perpetuity;immortality
えいきょう,影響,influence;effect
えいぎょう,営業,business;trade;management
えいご,英語,the English language
えいしゃ,映写,projection
えいじ,英字,English letter (character)
えいせい,衛星,satellite
えいせい,衛生,health;hygiene;sanitation;medical
えいぞう,映像,reflection;image
えいぶん,英文,sentence in English
えいゆう,英雄,hero;great man
えいよう,栄養,nutrition;nourishment
えいわ,英和,English-Japanese (e.g. dictionary)
ええ,,yes
ええと,,let me see;well;er....
えがお,笑顔,smiling face
えがく,描く,to draw;to paint;to sketch;to depict;to describe
えき,液,liquid;fluid
えき,駅,station
